Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount,Stock Split Ex Date,Stock Split Pay Date,Stock Split New ISIN,Stock Split Rate of Share Outturn From,Stock Split Rate of Share Outturn To,Stock Split Maintain Holding of Initial ISIN,Stock Split New Share Quantity,Stock Split Rate of Cash Outturn Amount,Stock Split Rate of Cash Outturn Currency,Stock Split Cash Outturn Received Amount,Stock Split Has Fractional Payout,Stock Split Rate of Fractional Payout Amount,Stock Split Rate of Fractional Payout Currency,Stock Split Fractional Payout Cash Received Amount,Stock Split Fractional Payout Cash Received Currency
Lloyds,ORDER,2025-08-05T13:31:49.412Z,GBP,7.40,BUY,LLOY,GB0008706128,0.81777778,0.04,9.00000000,London Stock Exchange,MDUTWLSL6HR8,MARKET,GBP,7.36,0.81777778,,,0,,,,,,,,,,,,,,,,,,,,,,,,
AstraZeneca,ORDER,2025-07-29T10:56:51.063Z,GBP,112.18,BUY,AZN,GB0009895292,111.62000000,0.56,1.00000000,London Stock Exchange,L4WYGE72RB97,MARKET,GBP,111.62,111.62000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Shell,ORDER,2025-07-29T10:56:15.957Z,GBP,27.20,BUY,SHEL,GB00BP6MXD84,27.06000000,0.14,1.00000000,London Stock Exchange,3NMMC6RMOCW2,MARKET,GBP,27.06,27.06000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Unilever,ORDER,2025-07-29T10:55:52.198Z,GBP,44.56,BUY,ULVR,GB00B10RZP78,44.34000000,0.22,1.00000000,London Stock Exchange,C3H1NZ0VV3W1,MARKET,GBP,44.34,44.34000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lloyds,ORDER,2025-07-29T10:55:32.354Z,GBP,15.93,BUY,LLOY,GB0008706128,0.79250000,0.08,20.00000000,London Stock Exchange,YAM7V5JQHC18,MARKET,GBP,15.85,0.79250000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-07-29T10:54:55.433Z,GBP,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius Real Estate,DIVIDEND,2025-07-24T15:55:00.000Z,GBP,0.13,,SRE,GG00B1W3VF54,,,5.00000000,,,,EUR,,,,0.86978000,0,0.00,2025-06-26,2025-07-24,5.00000000,0.03090000,0.15,0.15,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-07-15T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-06-16T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serco Group,ORDER,2025-05-19T07:36:06.578Z,GBP,3.65,BUY,SRP,GB0007973794,1.81500000,0.02,2.00000000,London Stock Exchange,74J6LODU1QWS,BASIC,GBP,3.63,1.81500000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,ORDER,2025-05-19T07:36:04.437Z,GBP,154.57,BUY,GAW,GB0003718474,153.80000000,0.77,1.00000000,London Stock Exchange,GYLXL9K7FK4G,BASIC,GBP,153.80,153.80000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Sirius Real Estate,ORDER,2025-05-19T07:30:34.778Z,GBP,4.65,BUY,SRE,GG00B1W3VF54,0.93000000,0.00,5.00000000,London Stock Exchange,XEU6365B0427,BASIC,GBP,4.65,0.93000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2025-05-18T12:05:24.503Z,GBP,160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-05-16T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,DIVIDEND,2025-05-07T15:21:00.000Z,GBP,1.00,,GAW,GB0003718474,,,1.00000000,,,,GBP,,,,,,,2025-03-27,2025-05-07,1.00000000,1.00000000,,,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-04-15T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-03-17T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,DIVIDEND,2025-02-28T18:52:00.000Z,GBP,1.55,,GAW,GB0003718474,,,1.00000000,,,,GBP,,,,,,,2025-01-23,2025-02-28,1.00000000,1.55000000,,,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-02-15T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,DIVIDEND,2025-02-14T17:29:00.000Z,GBP,0.80,,GAW,GB0003718474,,,1.00000000,,,,GBP,,,,,,,2025-01-09,2025-02-14,1.00000000,0.80000000,,,0,0.00,,,,,,,,,,,,,,,
Interest,INTEREST_FROM_CASH,2025-01-16T00:00:00.000Z,GBP,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games Workshop,ORDER,2024-12-05T08:31:52.298Z,GBP,142.69,BUY,GAW,GB0003718474,141.98000000,0.71,1.00000000,London Stock Exchange,CG75K83MQQDE,MARKET,GBP,141.98,141.98000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2024-12-05T08:27:54.184Z,GBP,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top up,TOP_UP,2024-12-05T08:26:49.689Z,GBP,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
